Qty, PROD_ID, Names, Value, Package,retail,wholesale
1, , E1, 2450AT18B100E, XDCR_2450AT18B100E,,
1, , IC1, ADAFRUIT_SENSOR_MPU-9250_ICM20948, ADAFRUIT_SENSOR_QFN24_3MM_NOEP,,
1, , IC2, DW01A, SOT23-6,,
1, , Q3, FS8205, SOT95P280X145-6N,,
1, , U$1, MIC5370-SGYMT, SON50P160X160X60-7N,,
1, , U1, MAX30101, MAX30100,19.95,6.6
1, IC-13460, U2, NRF52832, QFN48-6X6MM,5.02,2.23
1, , U3, TXS0102DQE, DQE(R-PX2SON-N8),,
