838,4
830,4
453,3
779,3
485,6
905,2
415,2
347,5
422,2
547,4
629,3
1016,4
652,3
382,4
772,3
62,3
67,4
114,6
707,3
117,4
584,5
267,3
587,4
49,3
972,3
27,2
237,3
979,3
502,3
445,4
1071,4
56,3
55,2
298,2
91,3
578,4
686,3
641,3
1079,5
186,3
848,4
507,3
161,2
1004,4
691,3
672,4
745,3
929,4
497,6
555,4
558,6
1020,3
704,5
129,3
252,3
455,4
736,3
178,5
935,4
428,3
75,2
909,5
996,3
810,3
1067,5
699,3
337,3
164,3
1046,6
115,3
427,3
965,3
131,3
616,7
849,4
219,4
859,3
35,2
1075,4
132,4
636,3
356,3
532,6
893,4
282,2
311,2
775,4
391,4
380,2
418,3
978,4
34,2
667,5
177,5
787,3
254,3
281,6
881,6
1073,3
29,3
1066,4
17,4
341,3
712,3
892,3
561,4
338,7
25,4
634,5
357,4
1077,5
335,3
1044,4
917,4
954,2
769,4
938,4
344,3
866,4
97,4
813,4
855,3
666,4
748,2
187,4
989,2
110,8
695,3
414,4
964,5
332,6
2,1
460,6
924,4
1010,2
290,3
949,6
713,3
320,3
69,5
692,4
459,6
921,6
913,5
1027,3
265,3
5,2
264,3
18,4
884,2
36,2
899,4
832,3
600,2
23,4
970,3
518,6
1013,4
999,4
92,3
784,4
365,3
416,3
491,4
334,4
828,5
889,3
476,4
194,4
47,4
255,3
816,3
681,2
820,6
570,4
448,3
993,3
54,3
107,4
682,3
283,6
224,2
755,3
76,3
504,5
33,4
157,3
174,2
392,5
947,5
583,2
276,4
12,5
728,3
128,4
794,3
789,3
149,5
406,3
197,5
542,7
80,4
851,4
53,3
703,6
98,4
842,2
38,2
628,4
1000,2
426,3
235,3
569,5
621,4
791,3
6,3
172,2
735,3
130,2
165,3
773,3
124,4
835,4
331,3
10,2
321,2
170,2
622,3
642,5
804,2
817,2
560,4
419,3
781,3
806,4
767,5
423,4
46,3
280,3
153,3
992,3
597,3
966,3
890,4
193,4
1043,4
104,4
926,4
960,4
610,4
877,3
202,2
837,4
825,3
841,4
556,3
456,4
440,7
948,3
496,4
765,5
601,3
700,3
630,5
524,4
951,3
718,3
312,2
1001,3
127,4
908,4
509,4
373,5
895,6
631,6
870,3
918,3
604,4
1076,4
941,4
166,2
931,5
739,2
716,4
764,3
933,4
60,3
74,3
515,8
671,4
594,3
470,7
685,4
1006,4
363,3
296,7
1058,4
179,3
1048,4
241,2
1008,3
880,4
1002,3
823,2
678,2
1033,6
307,4
599,3
364,6
488,4
780,4
146,7
946,5
595,4
183,3
21,3
871,2
220,3
289,2
285,2
723,5
1039,3
495,3
366,3
744,3
378,4
210,5
677,4
408,5
297,6
120,3
734,3
614,3
1012,3
200,2
696,3
431,5
329,3
1047,4
175,3
287,3
879,2
28,3
968,4
490,4
912,3
963,5
797,3
221,3
100,8
986,5
550,4
270,3
762,3
403,7
778,4
308,2
126,4
78,4
11,2
596,3
527,3
13,3
576,6
188,2
973,3
268,3
846,3
233,2
974,4
955,3
574,9
90,6
182,2
273,3
385,3
105,3
266,6
971,4
458,4
199,4
65,4
1003,3
482,3
294,2
557,3
95,4
263,4
635,3
513,3
761,3
793,3
1042,5
475,5
227,2
646,6
244,3
1021,3
461,3
486,3
